,0
0,creditscore
1,A_II_60d_ratio
2,A_II_90d_ratio
3,A_II_30d_ratio
4,has_easycash
5,A_II_30d
6,A_PI_180d_ratio
7,has_uangme
8,last_14_days_others_to_install_ratio
9,A_PI_360d_ratio
10,A_II_14d_ratio
11,last_7_days_others_install
12,B_II_21d
13,B_II_60d_ratio
14,A_II_7d_ratio
15,famous_app_cnt_ratio
16,last_60_days_others_to_update_ratio
17,AB_II_360d_ratio
18,last_30_days_others_to_install_ratio
19,has_adakami
20,last_14_days_others_up_to_not_increase
21,B_II_90d_ratio
22,last_30_days_cash_app_cnt_install_to_install_ratio
23,company_job
24,has_uku
25,A_II_21d_ratio
26,B_II_180d_ratio
27,last_30_days_communication_to_install_ratio
28,idinquiries21d_to30d_increase
29,AB_PI_360d_ratio
30,A_II_21d
31,A_II21d_to30d_increase
32,last_60_days_social_to_install_ratio
33,A_II_180d_ratio
34,last_3_days_others_to_notupdate_ratio
35,A_II_360d_ratio
36,last_30_days_tool_to_install_ratio
37,A_PI_90d_ratio
38,last_14_days_others_to_notupdate_ratio
39,phoneinquiries_7d
40,last_30_days_communication_to_notupdate_ratio
41,last_60_days_others_install
42,last_60_days_app_cnt_install
43,famous_app_cnt
44,A_II_3d_ratio
45,education_level
46,last_14_days_communication_to_install_ratio
47,B_II_360d_ratio
48,last_30_days_un_gp_cash_app_cnt_update_to_update_ratio
49,phoneinquiries21d_to30d_increase
50,last_60_days_others_to_install_ratio
51,whatsapp_ins_upd_diff_days
52,whatsapp_install_to_now_days
53,phone_multi_14d_diff
54,bayes_prob
55,last_60_days_others_update
56,last_30_days_others_to_notupdate_ratio
57,A_PI_21d_ratio
58,last_7_days_others_up_to_not_increase
59,A_PI_14d_ratio
60,A_II30d_to60d_increase
61,A_II_60d
62,B_II_30d_ratio
63,phone_multi_7d_diff
64,A_II21d_to30d_diff
65,B_II_21d_ratio
66,last_7_days_others_to_install_ratio
67,last_30_days_un_gp_cash_app_cnt_install_to_install_ratio
68,last_7_days_others_to_notupdate_ratio
69,last_60_days_communication_to_install_ratio
70,has_kta kilat
71,last_30_days_review_middle_app_install_to_install_ratio
72,has_kredit pintar
73,idinquiries_total
74,last_60_days_cash_app_cnt_up_to_install_ratio
75,phoneinquiries_14d
76,A_PI_30d
77,B_PI_360d
78,last_60_days_review_popular_app_update_to_update_ratio
79,B_II_360d
80,topup_0_60_avg
81,B_PI_30d
82,idinquiriesuname_total
83,B_II_180d
84,last_3_days_others_to_install_ratio
85,A_PI_7d_ratio
86,A_II_14d
87,A_II_90d
88,last_30_days_others_up_to_not_increase
89,B_II_30d
90,idinquiries30d_to60d_diff
91,PI_7d
92,sex
93,last_60_days_gamble_to_install_ratio
94,last_30_days_tool_to_notupdate_ratio
95,last_60_days_app_cnt_update
96,last_30_days_others_to_update_ratio
97,last_14_days_communication_to_notupdate_ratio
98,B_PI_7d
99,A_II60d_to90d_increase
100,company_province
101,idinquiries30d_to60d_increase
102,last_14_days_un_gp_cash_app_cnt_install_to_install_ratio
103,idinquiries_7d
104,idinquiries21d_to30d_diff
105,topup_0_30_amount
106,B_PI_180d_ratio
107,A_PI_II_3d_ratio
108,topup_0_30_times
109,last_14_days_others_to_update_ratio
110,B_PI_14d
111,B_II_14d_ratio
112,last_30_days_cash_app_cnt_update_to_update_ratio
113,famil_province
114,B_PI_21d_ratio
115,PI_14d
116,phoneinquiries21d_to30d_diff
117,last_60_days_company_up_to_not_minus
118,id_multi_total_diff
119,A_PI60d_to90d_increase
120,3dd_nquiries_PI_ratio
121,phoneinquiries30d_to60d_increase
122,last_7_days_company_up_to_not_increase
123,last_60_days_others_up_to_not_minus
124,last_60_days_un_gp_cash_app_cnt_up_to_install_ratio
125,last_60_days_install_popular_app_update_to_update_ratio
126,phoneinquiries_total
127,topup_0_90_amount
128,B_PI21d_to30d_increase
129,last_60_days_travel_to_install_ratio
130,last_60_days_lifestyle_to_update_ratio
131,7dd_nquiries_PI_ratio
132,phone_multi_total_diff
133,A_II60d_to90d_diff
134,PI_II_7d_ratio
135,last_60_days_review_popular_app_install_to_install_ratio
136,last_60_days_app_cnt_notupdate
137,phoneinquiriesuname_total
138,A_PI_90d
139,A_II90d_to180d_increase
140,last_30_days_others_install
141,last_60_days_un_gp_cash_app_cnt_update_to_update_ratio
142,A_II_7d
143,last_14_days_review_middle_app_install_to_install_ratio
144,idinquiries_360d
145,topup_90_180_min
146,max_update_days
147,A_PI30d_to60d_diff
148,idinquiriesuname_360d
149,PI_II_3d_ratio
150,idinquiries60d_to90d_increase
151,A_PI_II_30d_ratio
152,last_60_days_install_middle_app_install_to_install_ratio
153,A_PI_30d_ratio
154,A_II30d_to60d_diff
155,topup_0_30_amount_max_ratio
156,last_60_days_others_notupdate
157,last_60_days_communication_install
158,B_II_7d
159,last_14_days_cash_app_cnt_install_to_install_ratio
160,last_14_days_tool_to_install_ratio
161,last_14_days_un_gp_cash_app_cnt_update_to_update_ratio
162,AB_PI_7d_ratio
163,last_14_days_travel_to_install_ratio
164,A_PI_3d_ratio
165,A_PI_II_7d_ratio
166,last_60_days_tool_to_install_ratio
167,B_II_3d
168,II_7d
169,B_PI_180d
170,last_60_days_un_gp_cash_app_cnt_install_to_install_ratio
171,id_multi_90d_ratio
172,phone_multi_7d_ratio
173,topup_0_180_amount
174,B_II_14d
175,last_14_days_review_middle_app_update_to_update_ratio
176,HourOfDay
177,last_14_days_others_up_to_not_minus
178,topup_0_90_avg
179,phone_multi_21d_ratio
180,A_PI60d_to90d_diff
181,last_14_days_tool_install
182,A_PI_60d_ratio
183,B_PI_21d
184,last_7_days_company_up_to_not_minus
185,B_PI_II_60d_ratio
186,last_14_days_install_popular_app_update_to_update_ratio
187,A_PI90d_to180d_increase
188,phoneinquiries60d_to90d_increase
189,B_II14d_to21d_increase
190,last_60_days_install_popular_app_install_to_install_ratio
191,A_II180d_to360d_increase
192,last_60_days_install_popular_app_up_to_not_minus
193,topup_0_60_max
194,B_PI_II_3d_ratio
195,idinquiries14d_to21d_increase
196,last_7_days_tool_to_notupdate_ratio
197,last_60_days_communication_to_notupdate_ratio
198,A_II3d_to7d_diff
199,topup_0_30_max
200,last_30_days_review_middle_app_update_to_update_ratio
201,topup_0_90_amount_min_ratio
202,last_14_days_cash_app_cnt_update_to_update_ratio
203,last_14_days_communication_install
204,last_60_days_review_unpopular_second_app_install
205,last_60_days_video_music_up_to_not_increase
206,A_PI_II_90d_ratio
207,last_60_days_un_gp_cash_app_cnt_up_to_not_minus
208,last_14_days_company_up_to_not_minus
209,phone_multi_30d_diff
210,B_II_7d_ratio
211,A_PI21d_to30d_diff
212,B_PI_II_7d_ratio
213,A_PI3d_to7d_diff
214,max_install_date
215,last_60_days_cash_app_cnt_update_to_update_ratio
216,last_7_days_install_popular_app_install_to_install_ratio
217,B_PI30d_to60d_increase
218,topup_180_360_times
219,II_360d
220,topup_360_720_times
221,has_rupiah cepat
222,idinquiries_30d
223,last_60_days_company_up_to_not_increase
224,14dd_nquiries_PI_ratio
225,B_PI_II_180d_ratio
226,last_7_days_communication_to_install_ratio
227,B_II3d_to7d_increase
228,last_30_days_tool_install
229,B_II_60d
230,whatsapp_update_to_now_days
231,A_PI_180d
232,AB_II_180d_ratio
233,phone_multi_total_ratio
234,AB_II_7d_ratio
235,B_II14d_to21d_diff
236,id_multi_total_ratio
237,phoneinquiries3d_to7d_diff
238,last_60_days_review_unpopular_second_app_update_to_update_ratio
239,last_14_days_tool_to_notupdate_ratio
240,B_II_90d
241,last_30_days_tool_notupdate
242,last_60_days_game_to_update_ratio
243,AB_II_30d_ratio
244,last_60_days_un_gp_cash_app_cnt_up_to_not_increase
245,id_multi_90d_diff
246,A_II3d_to7d_increase
247,B_PI_II_14d_ratio
248,topup_30_60_max
249,B_PI_II_90d_ratio
250,A_PI_II_60d_ratio
251,A_PI180d_to360d_increase
252,boot_time
253,last_30_days_communication_install
254,AB_PI_3d_ratio
255,last_7_days_communication_to_notupdate_ratio
256,topup_0_60_amount
257,A_PI7d_to14d_diff
258,idinquiriesuname_90d
259,topup_0_360_amount
260,system_app_cnt
261,last_60_days_review_unpopular_second_app_up_to_install_ratio
262,phoneinquiries_30d
263,B_PI3d_to7d_increase
264,B_PI_90d
265,last_60_days_entertainment_to_install_ratio
266,last_60_days_cash_app_cnt_update
267,B_PI_14d_ratio
268,idinquiries_21d
269,last_60_days_review_popular_app_update
270,phoneinquiries30d_to60d_diff
271,b_activeYear
272,B_PI_7d_ratio
273,B_PI_360d_ratio
274,II_21d
275,last_60_days_tool_notupdate
276,last_60_days_video_music_to_update_ratio
277,last_7_days_install_popular_app_up_to_not_minus
278,idinquiries_14d
279,phoneinquiries7d_to14d_increase
280,last_14_days_others_install
281,B_PI_II_360d_ratio
282,multiidinquiries_total
283,last_14_days_app_cnt_install
284,last_60_days_others_to_notupdate_ratio
285,last_30_days_app_cnt_up_to_not_ratio
286,last_14_days_communication_notupdate
287,last_30_days_others_up_to_not_minus
288,last_60_days_entertainment_to_notupdate_ratio
289,last_60_days_game_to_install_ratio
290,idinquiriesuname_21d
291,phoneinquiries3d_to7d_increase
292,A_PI_360d
293,last_7_days_others_up_to_install_ratio
294,AB_II_90d_ratio
295,topup_0_360_amount_min_ratio
296,last_7_days_review_popular_app_install_to_install_ratio
297,last_60_days_cash_app_cnt_install_to_install_ratio
298,last_14_days_others_up_to_install_ratio
299,last_60_days_communication_to_update_ratio
300,last_30_days_cash_app_cnt_up_to_not_increase
301,last_60_days_communication_up_to_install_ratio
302,topup_0_30_avg
303,phonescore
304,last_60_days_tool_to_update_ratio
305,last_7_days_app_cnt_notupdate
306,II_30d
307,PI_II_14d_diff
308,B_II_3d_ratio
309,last_30_days_others_notupdate
310,B_PI14d_to21d_increase
311,topup_0_90_max
312,last_60_days_tool_to_notupdate_ratio
313,topup_30_60_avg
314,phone_multi_90d_ratio
315,A_PI21d_to30d_increase
316,decive_brand
317,last_7_days_tool_install
318,AB_PI_21d_ratio
319,idinquiriesuname_180d
320,last_60_days_lifestyle_install
321,topup_0_360_amount_max_ratio
322,last_3_days_communication_to_install_ratio
323,last_3_days_communication_install
324,topup_90_180_avg
325,last_60_days_review_middle_app_install_to_install_ratio
326,last_60_days_install_middle_app_update_to_update_ratio
327,last_30_days_company_up_to_not_minus
328,multiidinquiries_21d
329,last_60_days_social_to_update_ratio
330,II_90d
331,topup_30_60_times
332,last_30_days_app_cnt_notupdate
333,topup_0_360_max
334,last_30_days_travel_to_notupdate_ratio
335,topup_0_30_min
336,topup_0_180_avg
337,last_30_days_review_popular_app_install_to_install_ratio
338,last_14_days_others_notupdate
339,phonealive_phone_num
340,II_60d
341,A_II_180d
342,last_60_days_review_popular_app_install
343,A_PI_II_21d_ratio
344,phone_multi_60d_ratio
345,last_30_days_others_up_to_install_ratio
346,idinquiries_90d
347,idinquiries_60d
348,last_30_days_un_gp_cash_app_cnt_update
349,topup_60_90_avg
350,last_7_days_tool_notupdate
351,last_30_days_un_gp_cash_app_cnt_up_to_not_minus
352,A_II7d_to14d_increase
353,topup_0_90_min
354,30dd_nquiries_PI_ratio
355,B_PI14d_to21d_diff
356,last_60_days_lifestyle_to_notupdate_ratio
357,PeriodOfDay
358,last_14_days_tool_notupdate
359,AB_PI_14d_ratio
360,phoneinquiries60d_to90d_diff
361,last_7_days_travel_to_install_ratio
362,idinquiries_180d
363,A_PI_II_180d_ratio
364,phoneinquiries7d_to14d_diff
365,B_II21d_to30d_increase
366,PI_II_90d_ratio
367,last_60_days_app_cnt_up_to_not_minus
368,battery_power
369,id_multi_14d_ratio
370,topup_0_180_max
371,last_14_days_install_popular_app_up_to_not_increase
372,id_multi_60d_ratio
373,screen_rate_long
374,last_3_days_app_cnt_up_to_not_increase
375,phoneinquiriesuname_7d
376,A_PI_II_14d_ratio
377,topup_360_720_avg
378,last_60_days_review_middle_app_update_to_update_ratio
379,last_14_days_review_middle_app_up_to_not_minus
380,has_drive
381,last_60_days_review_popular_app_up_to_not_increase
382,last_60_days_others_up_to_not_increase
383,last_30_days_install_popular_app_update_to_update_ratio
384,last_30_days_others_update
385,last_14_days_app_cnt_update
386,last_14_days_travel_to_notupdate_ratio
387,last_30_days_travel_up_to_not_increase
388,PI_30d
389,var_update_days
390,topup_0_180_min
391,phoneinquiries14d_to21d_increase
392,last_60_days_lifestyle_up_to_install_ratio
393,last_60_days_travel_up_to_install_ratio
394,idinquiries90d_to180d_increase
395,B_PI_II_30d_ratio
396,last_7_days_others_notupdate
397,phone_multi_21d_diff
398,last_60_days_social_up_to_install_ratio
399,B_PI7d_to14d_increase
400,idinquiriesuname_60d
401,last_14_days_review_middle_app_up_to_not_increase
402,idinquiries90d_to180d_diff
403,phone_multi_60d_diff
404,id_multi_30d_ratio
405,B_II90d_to180d_increase
406,phone_multi_30d_ratio
407,B_PI7d_to14d_diff
408,last_14_days_travel_install
409,age
410,B_PI_60d
411,id_multi_21d_ratio
412,last_60_days_review_unpopular_second_app_up_to_not_minus
413,last_60_days_review_unpopular_second_app_up_to_not_increase
414,last_30_days_app_cnt_update_ratio
415,last_14_days_app_cnt_up_to_not_increase
416,idinquiries3d_to7d_increase
417,last_60_days_lifestyle_update
418,last_60_days_video_music_install
419,mean_update_days
420,idinquiries60d_to90d_diff
421,phoneinquiriesuname_360d
422,21dd_nquiries_PI_ratio
423,last_14_days_install_popular_app_up_to_install_ratio
424,topup_0_30_amount_min_ratio
425,topup_30_60_min
426,phone_multi_14d_ratio
427,multiidinquiries_30d
428,last_60_days_communication_notupdate
429,B_II30d_to60d_increase
430,live_days
431,topup_60_90_min
432,id_multi_21d_diff
433,phoneinquiries90d_to180d_increase
434,last_7_days_travel_install
435,last_60_days_travel_install
436,B_PI_90d_ratio
437,topup_0_60_min
438,A_II14d_to21d_increase
439,last_7_days_app_cnt_install
440,A_PI_II_360d_ratio
441,last_30_days_app_cnt_update
442,last_14_days_review_popular_app_update_to_update_ratio
443,last_7_days_un_gp_cash_app_cnt_update
444,last_30_days_review_unpopular_app_notupdate
445,A_II7d_to14d_diff
446,B_II7d_to14d_increase
447,last_7_days_cash_install_unpopular_second_app_notupdate_to_notupdate_ratio
448,multiidinquiries_90d
449,C_II7d_to14d_diff
450,last_7_days_gp_cash_app_cnt_notupdate_to_notupdate_ratio
451,idinquiries7d_to14d_diff
452,last_7_days_review_popular_app_up_to_not_increase
453,idinquiries360d_tototal_increase
454,B_II7d_to14d_diff
455,last_30_days_cash_install_unpopular_app_up_to_not_minus
456,last_3_days_business_update
457,last_7_days_game_update
458,C_PI7d_to14d_increase
459,last_30_days_gamble_up_to_install_ratio
460,has_twitter
461,last_14_days_communication_up_to_install_ratio
462,min_install_date
463,last_60_days_tool_up_to_not_increase
464,last_7_days_education_up_to_not_minus
465,phoneinquiries90d_to180d_diff
466,phoneinquiries180d_to360d_diff
467,phoneinquiries180d_to360d_increase
468,idinquiries180d_to360d_diff
469,idinquiries180d_to360d_increase
470,phoneinquiries360d_tototal_diff
471,phoneinquiries360d_tototal_increase
472,C_PI_3d
473,last_60_days_social_update
474,C_PI7d_to14d_diff
475,last_3_days_personal_to_install_ratio
476,last_30_days_install_unpopular_second_app_notupdate
477,A_PI_II_360d_diff
478,B_PI_II_360d_diff
479,C_PI_II_360d_diff
480,last_60_days_review_unpopular_app_up_to_install_ratio
481,C_PI_II_360d_ratio
482,last_30_days_business_install
483,topup_180_360_min
484,C_PI_360d_ratio
485,last_60_days_install_unpopular_app_notupdate
486,last_3_days_cash_install_unpopular_app_notupdate_to_notupdate_ratio
487,last_60_days_video_music_up_to_not_minus
488,last_7_days_gamble_to_install_ratio
489,multiphoneinquiries_90d
490,idinquiries14d_to21d_diff
491,B_PI3d_to7d_diff
492,A_PI3d_to7d_increase
493,C_PI3d_to7d_diff
494,C_PI3d_to7d_increase
495,B_II3d_to7d_diff
496,last_3_days_others_up_to_not_increase
497,last_30_days_cash_install_unpopular_app_update_to_update_ratio
498,last_14_days_install_middle_app_up_to_not_minus
499,C_II3d_to7d_diff
